season,qb_name,dropbacks,epa,epa_per_db,ints,sacks,air_yards,comp,att,yac,int_rate,sack_rate,ay_per_att,yac_per_comp,team,db_x,team_dropbacks,team_sacks,team_sack_rate_allowed,team_yac,team_completions,team_yac_per_comp,db_y,no_huddle_plays,team_no_huddle_rate,next_epa_per_db,seasons_seen
2023,R.Tannehill,268,-19.496622,-0.07274859,7,32,1817.0,149.0,260,795.0,0.026119402985074626,0.11940298507462686,6.9884615384615385,5.3355703,TEN,268,576,64,0.1111111111111111,1596.0,304.0,5.25,576,32,0.05555555555555555,,6
2018,R.Wilson,500,86.734505,0.173469,7,51,3832.0,280.0,471,1385.0,0.014,0.102,8.13588110403397,4.946429,SEA,500,500,51,0.102,1385.0,280.0,4.946429,500,44,0.088,0.121094555,1
2019,R.Wilson,608,73.62549,0.121094555,5,48,4830.0,341.0,563,1723.0,0.008223684210526315,0.07894736842105263,8.579040852575488,5.052786,SEA,608,609,48,0.07881773399014778,1723.0,341.0,5.052786,609,35,0.05747126436781609,0.13161436,2
2020,R.Wilson,659,86.733864,0.13161436,13,47,4809.0,384.0,606,1827.0,0.019726858877086494,0.07132018209408195,7.935643564356436,4.7578125,SEA,659,665,48,0.07218045112781955,1841.0,388.0,4.7448454,665,35,0.05263157894736842,0.03285576,3
2021,R.Wilson,458,15.047938,0.03285576,6,33,3955.0,259.0,435,1383.0,0.013100436681222707,0.07205240174672489,9.091954022988507,5.3397684,SEA,458,569,46,0.08084358523725835,1743.0,324.0,5.3796296,569,112,0.1968365553602812,-0.07521824,4
2022,R.Wilson,566,-42.57352,-0.07521824,11,55,4264.0,292.0,538,1720.0,0.019434628975265017,0.09717314487632508,7.925650557620818,5.890411,DEN,566,663,63,0.09502262443438914,1987.0,345.0,5.7594204,663,75,0.11312217194570136,-0.04520986,5
2023,R.Wilson,527,-23.825596,-0.04520986,8,45,3188.0,297.0,491,1733.0,0.015180265654648957,0.08538899430740038,6.492871690427698,5.8350167,DEN,527,603,52,0.08623548922056384,2067.0,337.0,6.133531,603,78,0.12935323383084577,0.0056367093,6
2024,R.Wilson,388,2.1870432,0.0056367093,5,33,2668.0,214.0,368,1122.0,0.01288659793814433,0.08505154639175258,7.25,5.2429905,PIT,388,586,49,0.08361774744027303,1652.0,321.0,5.1464176,586,169,0.2883959044368601,,7
2018,S.Darnold,459,-23.119823,-0.050369985,15,30,3832.0,239.0,444,1278.0,0.032679738562091505,0.06535947712418301,8.63063063063063,5.3472805,NYJ,459,580,37,0.06379310344827586,1586.0,299.0,5.304348,580,31,0.05344827586206897,-0.018950425,1
2019,S.Darnold,484,-9.172006,-0.018950425,13,33,3755.0,273.0,475,1478.0,0.026859504132231406,0.06818181818181818,7.905263157894737,5.4139194,NYJ,484,584,52,0.08904109589041095,1753.0,323.0,5.4272447,584,65,0.1113013698630137,-0.17575583,2
2020,S.Darnold,424,-74.52047,-0.17575583,11,35,2795.0,217.0,398,1158.0,0.025943396226415096,0.08254716981132075,7.022613065326633,5.3364058,NYJ,424,572,43,0.07517482517482517,1516.0,292.0,5.191781,572,50,0.08741258741258741,-0.14893937,3
2021,S.Darnold,465,-69.256805,-0.14893937,13,35,2932.0,243.0,442,1385.0,0.02795698924731183,0.07526881720430108,6.633484162895928,5.6995883,CAR,465,683,52,0.07613469985358712,1831.0,348.0,5.261494,683,77,0.11273792093704246,0.17924431,4
2022,S.Darnold,156,27.962112,0.17924431,3,10,1140.0,82.0,147,529.0,0.019230769230769232,0.0641025641025641,7.755102040816326,6.4512196,CAR,156,510,36,0.07058823529411765,1714.0,267.0,6.4194756,510,64,0.12549019607843137,0.083829984,5
2024,S.Darnold,621,52.058422,0.083829984,12,48,4607.0,361.0,593,1752.0,0.01932367149758454,0.07729468599033816,7.768971332209106,4.8531857,MIN,621,626,49,0.07827476038338659,1793.0,364.0,4.925824,626,75,0.11980830670926518,0.13409929,6
2025,S.Darnold,516,69.19524,0.13409929,14,27,3744.0,323.0,502,1778.0,0.027131782945736434,0.05232558139534884,7.45816733067729,5.504644,SEA,516,520,27,0.051923076923076926,1794.0,325.0,5.52,520,48,0.09230769230769231,,7
